SENTENCE	TOKEN	TAG
1	Affordable	O
1	price	B-aspect
1	,	O
1	reliable	O
1	item	B-aspect
1	and	O
1	excellent	O
1	customer	B-aspect
1	service	I-aspect
1	.	O
2	I	O
2	did	O
2	have	O
2	problem	O
2	connecting	O
2	my	O
2	laptop	O
2	to	O
2	the	O
2	internet	O
2	but	O
2	there	O
2	customer	B-aspect
2	service	I-aspect
2	representative	O
2	was	O
2	very	O
2	helpful	O
2	and	O
2	patient	O
2	in	O
2	walking	O
2	me	O
2	through	O
2	all	O
2	the	O
2	steps	O
2	.	O
3	I	O
3	have	O
3	no	O
3	regrets	O
3	and	O
3	thankful	O
3	to	O
3	find	O
3	this	O
3	product	O
3	in	O
3	amazon	O
3	.	O
4	After	O
4	much	O
4	homework	O
4	and	O
4	too	O
4	much	O
4	frustration	O
4	with	O
4	our	O
4	cable	O
4	provided	O
4	wireless	O
4	routers	O
4	-LRB-	O
4	4	O
4	replacements	O
4	in	O
4	8	O
4	months	O
4	-RRB-	O
4	we	O
4	decided	O
4	on	O
4	the	O
4	Netgear	O
4	N900	O
4	!	O
5	I	O
5	am	O
5	above	O
5	average	O
5	with	O
5	technical	O
5	knowledge	O
5	but	O
5	it	O
5	is	O
5	easy	O
5	enough	O
5	for	O
5	the	O
5	beginner	O
5	to	O
5	set	B-aspect
5	up	I-aspect
5	.	O
6	I	O
6	had	O
6	no	O
6	problems	O
6	.	O
7	Our	O
7	connection	B-aspect
7	and	O
7	speed	B-aspect
7	immediately	O
7	soared	O
7	once	O
7	it	O
7	was	O
7	online	O
7	and	O
7	our	O
7	network	O
7	was	O
7	set	O
7	up	O
7	.	O
8	The	O
8	only	O
8	problem	O
8	I	O
8	encountered	O
8	why	O
8	I	O
8	gave	O
8	it	O
8	only	O
8	4	O
8	stars	O
8	is	O
8	when	O
8	I	O
8	plugged	O
8	in	O
8	a	O
8	usb	O
8	storage	O
8	device	O
8	.	O
9	The	O
9	device	O
9	is	O
9	not	O
9	recognizable	O
9	on	O
9	any	O
9	of	O
9	the	O
9	computers	O
9	even	O
9	after	O
9	installing	O
9	the	O
9	Netgear	O
9	genie	O
9	.	O
10	The	O
10	only	O
10	way	O
10	I	O
10	'm	O
10	able	O
10	to	O
10	access	O
10	this	O
10	usb	O
10	drive	O
10	is	O
10	by	O
10	going	O
10	through	O
10	the	O
10	netgear	O
10	genie	O
10	through	O
10	the	O
10	ISP	O
10	of	O
10	the	O
10	storage	O
10	device	O
10	.	O
11	I	O
11	was	O
11	happy	O
11	when	O
11	I	O
11	saw	O
11	all	O
11	my	O
11	files	O
11	and	O
11	I	O
11	was	O
11	able	O
11	to	O
11	access	O
11	them	O
11	BUT	O
11	when	O
11	I	O
11	tried	O
11	to	O
