SENTENCE	TOKEN	TAG
11686	Room	B-aspect
11686	Was	O
11686	Acceptable	O
11687	The	O
11687	room	B-aspect
11687	was	O
11687	nice	O
11687	and	O
11687	the	O
11687	furnishings	B-aspect
11687	were	O
11687	comfortable	O
11687	.	O
11688	The	O
11688	food	B-aspect
11688	from	O
11688	the	O
11688	restaurant	O
11688	was	O
11688	very	O
11688	good	O
11688	but	O
11688	pricey	O
11688	which	O
11688	was	O
11688	the	O
11688	standard	O
11688	for	O
11688	everything	O
11688	in	O
11688	this	O
11688	hotel	B-aspect
11688	.	O
11689	The	O
11689	internet	B-aspect
11689	access	I-aspect
11689	from	O
11689	the	O
11689	room	O
11689	was	O
11689	9	O
11689	.	O
11689	95	O
11689	for	O
11689	a	O
11689	24	O
11689	hour	O
11689	period	O
11689	.	O
11690	To	O
11690	check	O
11690	in	O
11690	for	O
11690	my	O
11690	flight	O
11690	using	O
11690	the	O
11690	business	B-aspect
11690	center	I-aspect
11690	cost	O
11690	me	O
11690	4	O
11690	.	O
11690	59	O
11690	which	O
11690	included	O
11690	three	O
11690	minutes	O
11690	use	O
11690	of	O
11690	the	O
11690	internet	O
11690	and	O
11690	printing	O
11690	seven	O
11690	pages	O
11690	for	O
11690	my	O
11690	boarding	O
11690	pass	O
11690	.	O
11691	I	O
11691	liked	O
11691	the	O
11691	hotel	O
11691	with	O
11691	the	O
11691	exception	O
11691	of	O
11691	being	O
11691	charged	O
11691	for	O
11691	things	O
11691	other	O
11691	hotels	O
11691	provide	O
11691	free	O
11691	.	O
11692	Staff	B-aspect
11692	was	O
11692	very	O
11692	pleasant	O
11692	and	O
11692	helpful	O
11692	.	O
11693	Great	O
11693	stay	O
11693	!	O
11694	I	O
11694	booked	O
11694	here	O
11694	as	O
11694	I	O
11694	had	O
11694	a	O
11694	conference	O
11694	to	O
11694	attend	O
11694	at	O
11694	this	O
11694	hotel	O
11694	for	O
11694	3	O
11694	days	O
11694	.	O
11695	What	O
11695	a	O
11695	wonderful	O
11695	choice	O
11695	.	O
11696	Check	B-aspect
11696	in	I-aspect
11696	was	O
11696	fast	O
11696	and	O
11696	courteous	O
11696	.	O
11697	Rooms	B-aspect
11697	were	O
11697	clean	O
11697	,	O
11697	spacious	O
11697	and	O
11697	comforatable	O
11697	.	O
