SENTENCE	TOKEN	TAG
1	I	O
1	purchased	O
1	this	O
1	monitor	O
1	because	O
1	of	O
1	budgetary	O
1	concerns	O
1	.	O
2	This	O
2	item	O
2	was	O
2	the	O
2	most	O
2	inexpensive	B-aspect
2	17	O
2	inch	O
2	monitor	O
2	available	O
2	to	O
2	me	O
2	at	O
2	the	O
2	time	O
2	I	O
2	made	O
2	the	O
2	purchase	O
2	.	O
3	My	O
3	overall	O
3	experience	O
3	with	O
3	this	O
3	monitor	B-aspect
3	was	O
3	very	O
3	poor	O
3	.	O
4	When	O
4	the	O
4	screen	B-aspect
4	was	O
4	n't	O
4	contracting	O
4	or	O
4	glitching	O
4	the	O
4	overall	O
4	picture	B-aspect
4	quality	I-aspect
4	was	O
4	poor	O
4	to	O
4	fair	O
4	.	O
5	I	O
5	've	O
5	viewed	O
5	numerous	O
5	different	O
5	monitor	B-aspect
5	models	O
5	since	O
5	I	O
5	'm	O
5	a	O
5	college	O
5	student	O
5	and	O
5	this	O
5	particular	O
5	monitor	B-aspect
5	had	O
5	as	O
5	poor	O
5	of	O
5	picture	B-aspect
5	quality	I-aspect
5	as	O
5	any	O
5	I	O
5	've	O
5	seen	O
5	.	O
6	A	O
6	week	O
6	out	O
6	of	O
6	the	O
6	box	O
6	and	O
6	I	O
6	began	O
6	to	O
6	see	O
6	slight	O
6	contractions	O
6	of	O
6	the	O
6	screen	B-aspect
6	from	O
6	time	O
6	to	O
6	time	O
6	,	O
6	growing	O
6	more	O
6	frequent	O
6	each	O
6	day	O
6	.	O
7	Display	B-aspect
7	glitches	O
7	and	O
7	flashes	O
7	also	O
7	occurred	O
7	.	O
8	I	O
8	could	O
8	tell	O
8	this	O
8	was	O
8	a	O
8	``	O
8	cheap	O
8	''	O
8	monitor	B-aspect
8	as	O
8	soon	O
8	as	O
8	I	O
8	set	O
8	it	O
8	up	O
8	.	O
9	I	O
9	sent	O
9	it	O
9	back	O
9	and	O
9	now	O
9	will	O
9	search	O
9	for	O
9	a	O
9	better	O
9	quality	O
9	monitor	O
9	.	O
10	I	O
10	'd	O
10	stay	O
10	away	O
10	from	O
10	this	O
10	brand	O
10	,	O
10	that	O
10	is	O
10	,	O
10	if	O
10	you	O
10	ever	O
10	come	O
10	across	O
10	it	O
10	again	O
10	.	O
11	3G	O
11	Technologies	O
11	?	O
12	Searches	O
12	across	O
12	the	O
12	Net	O
12	come	O
12	up	O
12	empty	O
12	with	O
12	these	O
12	guys	O
12	.	O
13	Two	O
13	thumbs	O
13	down	O
13	.	O
14	I	O
14	used	O
14	this	O
14	monitor	B-aspect
14	for	O
14	2	O
14	years	O
14	and	O
14	now	O
14	it	O
14	shows	O
14	a	O
14	mixture	O
14	of	O
14	various	O
14	colors	B-aspect
14	and	O
14	de-focused	O
14	text	O
14	.	O
15	I	O
15	had	O
15	a	O
15	dell	O
15	latitude	O
15	netbook	O
15	that	O
15	I	O
15	had	O
15	to	O
15	return	O
15	.	O
16	I	O
16	really	O
16	liked	O
16	the	O
16	size	B-aspect
16	so	O
16	I	O
16	researched	O
16	what	O
16	to	O
16	buy	O
16	and	O
16	this	O
16	was	O
16	it	O
16	.	O
17	This	O
17	computer	B-aspect
17	has	O
17	an	O
17	excellent	O
17	screen	O
17	size	O
17	and	O
17	quality	B-aspect
17	-LRB-	O
17	for	O
17	a	O
17	netbook	O
17	-RRB-	O
17	.	O
18	It	O
18	is	O
18	bigger	O
18	than	O
18	the	O
18	dell	O
18	and	O
18	the	O
18	hp	O
18	mini	O
18	.	O
19	The	O
19	full	O
19	sized	O
19	keyboard	B-aspect
19	is	O
19	sweet	O
19	not	O
19	to	O
19	mention	O
19	the	O
19	aquamarine	O
19	color	B-aspect
19	.	O
20	That	O
20	is	O
20	surface	O
20	stuff	O
20	,	O
20	but	O
20	the	O
20	speed	B-aspect
20	and	O
20	memory	B-aspect
20	is	O
20	very	O
20	good	O
20	.	O
21	I	O
21	use	O
21	a	O
21	netbook	O
21	for	O
21	all	O
21	of	O
21	my	O
21	computing	O
21	with	O
21	the	O
21	exception	O
21	of	O
21	tax	O
21	programming	O
21	and	O
21	backup	O
21	.	O
22	This	O
22	really	O
22	is	O
22	a	O
22	laptop	B-aspect
22	in	O
22	a	O
22	small	O
22	form	B-aspect
22	.	O
23	I	O
23	can	O
23	use	O
23	several	O
23	programs	O
23	at	O
23	once	O
23	with	O
23	little	O
23	difficulty	O
23	.	O
24	The	O
24	windows	B-aspect
24	7	I-aspect
24	premium	I-aspect
24	is	O
24	good	O
24	-LRB-	O
24	do	O
24	n't	O
24	recommend	O
24	starter	O
24	-RRB-	O
24	and	O
24	user	O
24	friendly	O
24	.	O
25	I	O
25	can	O
25	write	O
25	reports	O
25	,	O
25	check	O
25	social	O
25	network	O
25	,	O
25	pictures	O
25	,	O
25	check	O
25	email	O
25	,	O
25	read	O
25	reviews	O
25	,	O
25	and	O
25	shop	O
25	at	O
25	the	O
25	same	O
25	time	O
25	.	O
26	It	O
26	is	O
26	slightly	O
26	slower	B-aspect
26	than	O
26	the	O
26	dell	O
26	,	O
26	but	O
26	it	O
26	is	O
26	hard	B-aspect
26	to	I-aspect
26	notice	O
26	with	O
26	the	O
26	very	O
26	nice	O
26	screen	B-aspect
26	quality	I-aspect
26	and	O
26	larger	O
26	hard	B-aspect
26	drive	I-aspect
26	.	O
27	The	O
27	larger	O
27	screen	B-aspect
27	has	O
27	allowed	O
27	me	O
27	to	O
27	put	O
27	all	O
27	my	O
27	photos	O
27	on	O
27	it	O
27	-LRB-	O
27	could	O
27	n't	O
27	on	O
27	the	O
27	dell	O
27	-RRB-	O
27	and	O
27	edit	O
27	them	O
27	.	O
28	This	O
28	has	O
28	turned	O
28	into	O
28	a	O
28	much	O
28	better	O
28	purchase	O
28	than	O
28	I	O
28	expected	O
28	and	O
28	it	O
28	is	O
28	very	O
28	light	O
28	.	O
29	Overall	O
29	a	O
29	sweet	O
29	machine	B-aspect
29	.	O
30	I	O
30	've	O
30	purchased	O
30	two	O
30	of	O
30	these	O
30	netbooks	O
30	,	O
30	one	O
30	for	O
30	myself	O
30	and	O
30	the	O
30	other	O
30	for	O
30	my	O
30	girlfriend	O
30	.	O
31	Sure	O
31	,	O
31	it	O
31	's	O
31	no	O
31	laptop	O
31	,	O
31	but	O
31	you	O
31	could	O
31	have	O
31	fooled	O
31	me	O
31	.	O
32	It	O
32	's	O
32	very	O
32	light-weight	B-aspect
32	,	O
32	which	O
32	is	O
32	why	O
32	I	O
32	use	O
32	this	O
32	more	O
32	than	O
32	my	O
32	Alienware	O
32	.	O
33	It	O
33	does	O
33	just	O
33	what	O
33	I	O
33	need	O
33	once	O
33	fully	O
33	configured	O
33	:	O
33	Add	O
33	4GB	O
33	of	O
33	ram	O
33	,	O
33	clean	O
33	out	O
33	pre-loaded	O
33	junkware	O
33	,	O
33	and	O
33	install	O
33	CCleaner	O
33	and	O
