SENTENCE	TOKEN	TAG
0	Judging	O
0	from	O
0	previous	O
0	posts	O
0	this	O
0	used	O
0	to	O
0	be	O
0	a	O
0	good	O
0	place	B-aspect
0	,	O
0	but	O
0	not	O
0	any	O
0	longer	O
0	.	O
1	We	O
1	,	O
1	there	O
1	were	O
1	four	O
1	of	O
1	us	O
1	,	O
1	arrived	O
1	at	O
1	noon	O
1	the	O
1	place	O
1	was	O
1	empty	O
1	and	O
1	the	O
1	staff	B-aspect
1	acted	O
1	like	O
1	we	O
1	were	O
1	imposing	O
1	on	O
1	them	O
1	and	O
1	they	O
1	were	O
1	very	O
1	rude	O
1	.	O
2	They	O
2	never	O
2	brought	O
2	us	O
2	complimentary	O
2	noodles	O
2	,	O
2	ignored	O
2	repeated	O
2	requests	O
2	for	O
2	sugar	O
2	,	O
2	and	O
2	threw	O
2	our	O
2	dishes	O
2	on	O
2	the	O
2	table	O
2	.	O
3	The	O
3	food	B-aspect
3	was	O
3	lousy	O
3	too	O
3	sweet	O
3	or	O
3	too	O
3	salty	O
3	and	O
3	the	O
3	portions	B-aspect
3	tiny	O
3	.	O
4	After	O
4	all	O
4	that	O
4	,	O
4	they	O
4	complained	O
4	to	O
4	me	O
4	about	O
4	the	O
4	small	O
4	tip	O
4	.	O
5	Avoid	O
5	this	O
5	place	B-aspect
5	!	O
6	I	O
6	have	O
6	eaten	O
6	at	O
6	Saul	O
6	,	O
6	many	O
6	times	O
6	,	O
6	the	O
6	food	B-aspect
6	is	O
6	always	O
6	consistently	O
6	,	O
6	outrageously	O
6	good	O
6	.	O
7	Saul	B-aspect
7	is	O
7	the	O
7	best	O
7	restaurant	O
7	on	O
7	Smith	O
7	Street	O
7	and	O
7	in	O
7	Brooklyn	O
7	.	O
8	The	O
8	duck	B-aspect
8	confit	I-aspect
8	is	O
8	always	O
8	amazing	O
8	and	O
8	the	O
8	foie	B-aspect
8	gras	I-aspect
8	terrine	I-aspect
8	with	I-aspect
8	figs	I-aspect
8	was	O
8	out	O
8	of	O
8	this	O
8	world	O
8	.	O
9	The	O
9	wine	B-aspect
9	list	I-aspect
9	is	O
9	interesting	O
9	and	O
9	has	O
9	many	O
9	good	O
9	values	O
9	.	O
10	For	O
10	the	O
10	price	O
10	,	O
10	you	O
10	cannot	O
10	eat	O
10	this	O
10	well	O
10	in	O
10	Manhattan	O
10	.	O
11	I	O
11	was	O
11	very	O
11	disappointed	O
11	with	O
11	this	O
11	restaurant	B-aspect
11	.	O
12	Ive	O
12	asked	O
12	a	O
12	cart	B-aspect
12	attendant	I-aspect
12	for	O
12	a	O
12	lotus	O
12	leaf	O
12	wrapped	O
12	rice	O
12	and	O
12	she	O
12	replied	O
12	back	O
12	rice	O
12	and	O
12	just	O
12	walked	O
12	away	O
12	.	O
13	I	O
13	had	O
13	to	O
13	ask	O
13	her	O
13	three	O
13	times	O
13	before	O
13	she	O
13	finally	O
13	came	O
13	back	O
13	with	O
13	the	O
13	dish	O
13	Ive	O
13	requested	O
13	.	O
14	Food	B-aspect
14	was	O
14	okay	O
14	,	O
14	nothing	O
14	great	O
14	.	O
15	Chow	B-aspect
15	fun	I-aspect
15	was	O
15	dry	O
15	;	O
15	pork	B-aspect
15	shu	I-aspect
15	mai	I-aspect
15	was	O
15	more	O
15	than	O
15	usually	O
15	greasy	O
15	and	O
15	had	O
15	to	O
15	share	O
15	a	O
15	table	O
15	with	O
15	loud	O
15	and	O
15	rude	O
15	family	O
15	.	O
16	I	O
16	we	O
16	will	O
16	never	O
16	go	O
16	back	O
16	to	O
16	this	O
16	place	B-aspect
16	again	O
16	.	O
17	Went	O
17	on	O
17	a	O
17	3	O
17	day	O
17	oyster	O
17	binge	O
17	,	O
17	with	O
17	Fish	B-aspect
17	bringing	O
17	up	O
17	the	O
17	closing	O
17	,	O
17	and	O
17	I	O
17	am	O
17	so	O
17	glad	O
17	this	O
17	was	O
17	the	O
17	place	O
17	it	O
17	O	O
17	trip	O
17	ended	O
17	,	O
17	because	O
17	it	O
17	was	O
17	so	O
17	great	O
17	!	O
18	Service	B-aspect
18	was	O
18	devine	O
18	,	O
18	oysters	B-aspect
18	where	O
18	a	O
18	sensual	O
18	as	O
18	they	O
18	come	O
18	,	O
18	and	O
18	the	O
18	price	O
18	can't	O
18	be	O
18	beat	O
18	!	O
18	!	O
18	!	O
19	You	O
19	can't	O
19	go	O
19	wrong	O
19	here	O
19	.	O
20	Every	O
20	time	O
20	in	O
20	New	O
20	York	O
20	I	O
20	make	O
20	it	O
20	a	O
20	point	O
20	to	O
20	visit	O
20	Restaurant	B-aspect
20	Saul	I-aspect
20	on	O
20	Smith	O
20	Street	O
20	.	O
21	Everything	O
21	is	O
21	always	O
21	cooked	O
21	to	O
21	perfection	O
21	,	O
21	the	O
21	service	B-aspect
21	is	O
21	excellent	O
21	,	O
21	the	O
21	decor	B-aspect
