SENTENCE	TOKEN	TAG
1	These	O
1	speakers	B-aspect
1	are	O
1	incredibly	O
1	amazing	O
1	.	O
2	Before	O
2	this	O
2	I	O
2	had	O
2	the	O
2	jbl	O
2	on	O
2	stage	O
2	,	O
2	which	O
2	were	O
2	also	O
2	incredibly	O
2	good	O
2	.	O
3	But	O
3	I	O
3	wanted	O
3	something	O
3	that	O
3	I	O
3	can	O
3	play	O
3	without	O
3	having	O
3	to	O
3	plug	O
3	into	O
3	a	O
3	power	O
3	outlet	O
3	and	O
3	would	O
3	work	O
3	on	O
3	rechargable	O
3	batteries	O
3	.	O
4	I	O
4	didnt	O
4	want	O
4	one	O
4	in	O
4	which	O
4	I	O
4	would	O
4	have	O
4	to	O
4	put	O
4	in	O
4	batteries	O
4	myself	O
4	-LRB-	O
4	that	O
4	is	O
4	a	O
4	pain	O
4	-RRB-	O
4	I	O
4	did	O
4	alot	O
4	of	O
4	research	O
4	and	O
4	read	O
4	a	O
4	bunch	O
4	of	O
4	reviews	O
4	and	O
4	im	O
4	glad	O
4	I	O
4	purchased	O
4	these	O
4	speakers	B-aspect
4	.	O
5	Most	O
5	of	O
5	the	O
5	reviews	O
5	about	O
5	the	O
5	sound	O
5	quality	O
5	is	O
5	true	O
5	.	O
6	The	O
6	speakers	B-aspect
6	have	O
6	a	O
6	very	O
6	rich	O
6	sound	B-aspect
6	and	O
6	good	O
6	bass	B-aspect
6	also	O
6	,	O
6	obviously	O
6	not	O
6	thumping	O
6	bass	B-aspect
6	for	O
6	which	O
6	you	O
6	would	O
6	need	O
6	a	O
6	huge	O
6	subwoofer	O
6	!!	O
7	Although	O
7	the	O
7	bass	O
7	im	O
7	getting	O
7	out	O
7	of	O
7	these	O
7	speakers	O
7	was	O
7	unexpected	O
7	.	O
8	Without	O
8	a	O
8	doubt	O
8	I	O
8	would	O
8	say	O
8	that	O
8	these	O
8	speakers	B-aspect
8	have	O
8	the	O
8	same	O
8	sound	B-aspect
8	quality	I-aspect
8	as	O
8	the	O
8	jbl	O
8	on	O
8	stage	O
8	,	O
8	and	O
8	are	O
8	truly	O
8	portable	B-aspect
8	-LRB-	O
8	can	O
8	be	O
8	played	O
8	without	O
8	a	O
8	power	O
8	outlet	O
8	,	O
8	I	O
8	love	O
8	that	O
8	feature	O
8	-RRB-	O
8	.	O
9	The	O
9	only	O
9	downside	O
9	is	O
9	the	O
9	remote	B-aspect
9	which	O
9	requires	O
9	a	O
9	line	O
9	of	O
9	sight	O
9	.	O
10	Its	O
10	not	O
10	a	O
10	big	O
10	deal	O
10	for	O
10	me	O
10	.	O
11	The	O
11	main	O
11	thing	O
11	I	O
11	was	O
11	looking	O
11	for	O
11	was	O
11	sound	O
11	quality	O
11	!	O
12	I	O
12	read	O
12	all	O
12	the	O
12	reviews	O
12	herein	O
12	,	O
12	and	O
12	saw	O
12	all	O
12	the	O
12	concerns	O
12	.	O
13	First	O
13	,	O
13	i	O
13	was	O
13	looking	O
13	for	O
13	an	O
13	iPhone	O
13	dock	O
13	and	O
13	FM	O
13	tuner	O
13	,	O
13	not	O
13	necessarily	O
13	an	O
13	alarm	O
13	clock	O
13	-	O
13	as	O
13	its	O
13	for	O
13	the	O
13	office	O
13	.	O
14	I	O
14	must	O
14	say	O
14	:	O
14	-	O
14	IT	O
14	WORKS	O
14	WITH	O
14	IPHONE4	O
14	,	O
14	EVEN	O
14	WITH	O
14	THIN	O
14	CASE	O
14	ON	O
14	IT	O
14	.	O
15	just	O
15	push	O
15	it	O
15	into	O
15	the	O
15	slot	O
15	-	O
15	It	O
15	charges	O
15	the	O
15	iPhone4	O
15	.	O
16	-	O
16	It	O
16	allows	O
16	incoming	O
16	calls	O
16	to	O
16	interrupt	O
16	the	O
16	music	O
16	,	O
16	and	O
16	you	O
16	can	O
16	answer	O
16	the	O
16	call	O
16	without	O
16	having	O
16	to	O
16	undock	O
16	it	O
16	.	O
17	-	O
17	It	O
17	allows	O
17	incoming	O
17	email	O
17	and	O
17	TXT	O
17	messages	O
17	to	O
17	be	O
17	read	O
17	and	O
17	responded	O
17	to	O
17	w\/o	O
17	undocking	O
17	it	O
17	-	O
17	essentially	O
17	you	O
17	can	O
17	do	O
17	ALL	O
17	iPhone	O
17	apps	O
17	while	O
17	its	O
17	docked	O
17	.	O
18	-	O
18	Sound	B-aspect
18	quality	I-aspect
18	is	O
18	good	O
18	.	O
19	-	O
19	Tuner	B-aspect
19	quality	I-aspect
19	is	O
19	good	O
19	.	O
20	-	O
20	Looks	B-aspect
20	fantastic	O
20	,	O
20	esp	O
20	w\/iPhone4	O
20	docked	O
20	!!	O
21	-	O
21	Setup	B-aspect
21	,	O
21	from	O
21	in	O
21	the	O
21	box	O
21	to	O
21	completely	O
21	working	O
21	,	O
21	and	O
21	programmed	O
21	for	O
21	20	O
21	preset	O
21	FM	O
21	stations	O
21	,	O
21	was	O
21	under	O
21	5	O
21	minutes	O
21	.	O
22	-	O
22	I	O
22	bought	O
22	from	O
22	an	O
22	Amazon	O
22	Prime	O
22	Fullfiller	O
22	,	O
22	used	O
22	like	O
22	new	O
22	,	O
22	and	O
22	it	O
22	is	O
22	just	O
22	that	O
22	-	O
22	like	O
22	new	O
22	,	O
22	not	O
22	a	O
22	blemish	O
22	or	O
22	issue	O
22	,	O
22	and	O
22	for	O
22	$	O
22	56	O
22	...	O
22	I	O
22	have	O
22	no	O
22	qualms	O
22	about	O
22	this	O
22	.	O
23	Yes	O
23	,	O
23	the	O
23	buttons	B-aspect
23	are	O
23	a	O
23	bit	O
23	small	O
23	and	O
23	close	O
23	,	O
23	but	O
23	they	O
23	are	O
23	functional	O
23	.	O
24	My	O
24	only	O
24	recommendation	O
24	-	O
24	include	O
24	a	O
24	remote	O
24	...	O
24	BUY	O
24	THIS	O
24	!	O
25	I	O
25	purchased	O
25	this	O
25	phone	O
25	set	O
25	for	O
25	work	O
25	,	O
25	thinking	O
25	that	O
25	inexpensive	O
25	replacement	O
25	phones	O
25	would	O
25	ease	O
25	the	O
25	pain	O
25	of	O
25	things	O
25	being	O
25	spilled	O
25	on	O
25	them	O
25	or	O
25	dropped	O
25	.	O
26	The	O
26	sound	B-aspect
26	quality	I-aspect
26	has	O
26	been	O
26	poor	O
26	since	O
26	day	O
26	one	O
26	,	O
26	the	O
26	base	O
26	constantly	O
26	drops	O
26	calls	O
26	,	O
26	and	O
26	now	O
26	there	O
26	seems	O
26	to	O
26	be	O
26	some	O
26	sort	O
26	of	O
26	short	O
26	circuit	O
26	in	O
26	the	O
26	base	O
26	--	O
26	we	O
26	can	O
26	no	O
26	longer	O
26	use	O
26	the	O
26	AC	O
26	adapter	O
26	with	O
26	the	O
26	base	O
26	or	O
26	it	O
26	turns	O
26	off	O
26	completely	O
26	.	O
27	When	O
27	I	O
27	purchased	O
27	this	O
27	set	O
27	,	O
27	I	O
27	never	O
27	imagined	O
27	I	O
27	would	O
27	be	O
27	running	O
27	my	O
27	business	O
27	telephones	O
27	off	O
27	of	O
27	4	O
27	AA	O
27	batteries	O
27	.	O
28	Other	O
28	complaints	O
28	:	O
28	you	O
28	ca	O
28	n't	O
28	put	O
28	line	O
28	1	O
28	on	O
28	hold	O
28	and	O
28	answer	O
28	line	O
28	2	O
28	with	O
28	the	O
28	same	O
28	handset	O
28	without	O
28	a	O
28	``	O
28	conference	O
28	call	O
28	''	O
28	beginning	O
28	.	O
29	The	O
29	incoming	O
29	call	O
29	volume	B-aspect
29	is	O
29	incredibly	O
29	low	O
29	and	O
29	it	O
29	is	O
29	often	O
29	difficult	O
29	to	O
29	hear	O
29	my	O
29	customers	O
29	-LRB-	O
29	it	O
29	was	O
29	so	O
29	bad	O
29	I	O
29	had	O
29	my	O
29	hearing	O
29	tested	O
29	because	O
29	I	O
29	thought	O
29	something	O
29	was	O
29	wrong	O
29	with	O
29	me	O
29	.	O
30	Yes	O
30	,	O
30	I	O
30	'm	O
30	blonde	O
30	,	O
30	but	O
30	this	O
30	proves	O
30	to	O
30	me	O
30	it	O
30	's	O
30	the	O
30	phones	O
30	!	O
30	-RRB-	O
31	I	O
31	got	O
31	this	O
31	for	O
31	use	O
31	on	O
31	my	O
31	truck	O
31	and	O
31	I	O
31	'm	O
31	happy	O
31	with	O
31	it	O
31	for	O
31	the	O
31	most	O
31	part	O
31	,	O
31	it	O
31	is	O
31	loud	B-aspect
31	and	O
31	super	O
31	easy	O
31	to	O
31	install	B-aspect
31	,	O
31	however	O
31	you	O
31	are	O
31	going	O
31	to	O
31	want	O
31	an	O
31	amp	O
31	for	O
31	i	O
32	I	O
32	will	O
32	never	O
32	buy	O
32	another	O
32	GE	O
32	phone	O
32	again	O
32	.	O
33	Period	O
33	.	O
34	These	O
34	speakers	B-aspect
34	have	O
34	great	O
34	sound	B-aspect
34	but	O
34	they	O
34	will	O
34	buzz	O
34	if	O
34	you	O
34	leave	O
34	them	O
34	on	O
34	with	O
34	the	O
34	sound	B-aspect
34	turned	O
34	up	O
34	.	O
35	These	O
35	serve	O
35	as	O
35	my	O
35	primary	O
35	speakers	O
35	in	O
35	my	O
35	living	O
35	room	O
35	-LRB-	O
35	about	O
35	14X22	O
35	-RRB-	O
35	.	O
36	They	O
36	sit	O
36	on	O
36	stands	O
36	about	O
36	8	O
36	''	O
36	high	O
36	,	O
36	and	O
36	are	O
36	pretty	O
36	close	O
36	to	O
36	being	O
36	in	O
36	the	O
36	corners	O
36	on	O
36	one	O
36	of	O
36	the	O
36	long	O
36	walls	O
36	.	O
37	I	O
37	am	O
37	sure	O
37	that	O
37	if	O
37	I	O
37	had	O
37	spent	O
37	more	O
37	and	O
37	gone	O
37	with	O
37	bigger	O
37	,	O
37	floor-standing	O
37	units	O
37	from	O
37	Klipsch	O
37	,	O
37	I	O
37	would	O
37	be	O
37	even	O
37	more	O
37	impressed	O
37	,	O
37	but	O
37	frankly	O
37	,	O
37	these	O
37	get	O
37	the	O
37	job	O
37	done	O
37	and	O
37	do	O
37	n't	O
37	seem	O
37	to	O
37	break	O
37	a	O
37	sweat	O
37	.	O
38	Most	O
38	of	O
38	our	O
38	listening	O
38	is	O
38	at	O
38	modest	O
38	volumes	O
38	,	O
38	but	O
38	I	O
38	have	O
38	turned	O
38	them	O
38	up	O
38	on	O
38	some	O
38	demanding	O
38	tracks	O
38	and	O
38	they	O
38	do	O
38	n't	O
38	flinch	O
38	.	O
39	Even	O
39	the	O
39	bass	B-aspect
39	is	O
39	pretty	O
39	impressive	O
39	from	O
39	such	O
39	rather	O
39	small	O
39	drivers	O
39	.	O
40	My	O
40	only	O
40	wish	O
40	would	O
40	be	O
40	that	O
40	these	O
40	would	O
40	've	O
40	been	O
40	made	O
40	in	O
40	the	O
40	USA	O
40	rather	O
40	than	O
40	China	O
40	,	O
40	but	O
40	at	O
40	least	O
40	the	O
40	company	O
40	is	O
40	still	O
40	mostly	O
40	based	O
40	here	O
40	.	O
41	I	O
41	tried	O
41	to	O
41	use	O
41	these	O
41	with	O
41	my	O
41	laptop	O
41	-LRB-	O
41	Dell	O
41	Inspiron	O
41	1720	O
41	-RRB-	O
41	but	O
41	could	O
41	n't	O
41	get	O
41	rid	O
41	of	O
41	the	O
41	buzzing	O
41	noise	B-aspect
41	others	O
41	have	O
41	mentioned	O
41	,	O
41	no	O
41	matter	O
41	how	O
41	far	O
41	I	O
41	moved	O
41	them	O
41	from	O
41	the	O
41	computer	O
41	or	O
41	where	O
41	I	O
41	plugged	O
41	them	O
41	in	O
41	.	O
42	I	O
42	took	O
42	them	O
42	to	O
42	a	O
42	different	O
42	room	O
42	and	O
42	tested	O
42	them	O
42	with	O
42	my	O
42	mp3	O
42	player	O
42	,	O
42	where	O
42	they	O
42	worked	B-aspect
42	fine	O
42	and	O
42	sounded	B-aspect
42	pretty	O
42	good	O
42	.	O
43	So	O
43	--	O
43	before	O
43	ordering	O
43	,	O
43	consider	O
43	what	O
43	you	O
43	will	O
43	use	O
43	them	O
43	for	O
43	.	O
44	This	O
44	little	O
44	speaker	B-aspect
44	has	O
44	dynamite	O
44	sound	B-aspect
44	!!	O
45	I	O
45	should	O
45	have	O
45	ordered	O
45	two	O
45	.	O
46	My	O
46	only	O
46	complaint	O
46	,	O
46	is	O
46	that	O
46	the	O
46	cord	B-aspect
46	is	O
46	not	O
46	long	O
46	enough	O
46	.	O
47	I	O
47	use	O
47	it	O
47	for	O
47	my	O
47	tablet	O
47	.	O
48	These	O
48	stands	O
48	are	O
48	about	O
48	3	O
48	feet	O
48	high	O
48	with	O
48	my	O
48	Onkyo	O
48	Surrounds	O
48	attached	O
48	.	O
49	Excellent	O
49	heavy	O
49	build	O
49	quality	B-aspect
49	,	O
49	and	O
49	the	O
49	stands	B-aspect
49	are	O
49	not	O
49	imposing	O
49	and	O
49	blend	O
49	fairly	O
49	well	O
49	into	O
49	the	O
49	rest	O
49	of	O
49	my	O
49	furniture	O
49	.	O
50	Wire	O
50	runs	O
50	through	O
50	the	O
50	body	O
50	of	O
50	the	O
50	stand	O
50	-	O
50	giving	O
50	it	O
50	a	O
50	very	O
50	clean	O
50	look	B-aspect
50	.	O
51	I	O
51	used	O
51	the	O
51	double	O
51	sided	O
51	tape	O
51	along	O
51	the	O
51	base	O
51	for	O
51	mine	O
51	and	O
51	it	O
51	seems	O
51	to	O
51	be	O
51	pretty	O
51	secure	O
51	.	O
52	I	O
52	'm	O
52	also	O
52	running	O
52	in-wall	O
52	rated	O
52	insulated	O
52	14	O
52	gauge	O
52	speaker	O
52	wire	B-aspect
52	,	O
52	and	O
52	the	O
52	stands	B-aspect
52	accommodate	O
52	this	O
52	thick	O
52	wire	B-aspect
52	perfectly	O
52	,	O
52	even	O
52	through	O
52	the	O
52	groove	O
52	in	O
52	the	O
52	bottom	O
52	of	O
52	the	O
52	base	O
52	.	O
53	I	O
53	'm	O
53	very	O
53	happy	O
53	with	O
53	these	O
53	,	O
53	I	O
53	'll	O
53	probably	O
53	buy	O
53	2	O
53	more	O
53	for	O
53	the	O
53	front	B-aspect
53	channels	I-aspect
53	.	O
54	One	O
54	thing	O
54	to	O
54	consider	O
54	is	O
54	that	O
54	these	O
54	stands	B-aspect
54	are	O
54	not	O
54	height	O
54	adjustable	O
54	and	O
54	the	O
54	speakers	B-aspect
54	will	O
54	not	O
54	angle	O
54	down	O
54	.	O
55	So	O
55	be	O
55	mindful	O
55	of	O
55	your	O
55	seating	O
55	height	O
55	before	O
55	purchasing	O
55	this	O
55	.	O
56	Pros	O
56	:	O
56	-	O
56	Big	O
56	crisp	O
56	screen	O
56	1920x1080	O
56	resolution	O
56	-	O
56	Under	O
56	$	O
56	200	O
56	-	O
56	Decent	O
56	sounding	O
56	speakers	B-aspect
56	Cons	O
56	:	O
56	Volume	B-aspect
56	adjustment	I-aspect
56	is	O
56	a	O
56	little	O
56	annoying	O
56	but	O
56	not	O
56	really	O
56	a	O
56	big	O
56	problem	O
56	since	O
56	windows	O
56	has	O
56	volume	O
56	controls	O
56	.	O
57	I	O
57	got	O
57	mine	O
57	quick	O
57	,	O
57	everything	O
57	works	O
57	fine	O
57	,	O
57	botta	O
57	boom	O
57	botta	O
57	bing	O
57	.	O
58	I	O
58	do	O
58	wish	O
58	they	O
58	came	O
58	with	O
58	mounting	O
58	screws	O
58	for	O
58	the	O
58	speakers	O
58	.	O
59	The	O
59	main	O
59	problems	O
59	for	O
59	me	O
59	is	O
59	that	O
59	the	O
59	dsub	B-aspect
59	cord	I-aspect
59	from	O
59	the	O
59	sub	O
59	to	O
59	the	O
59	control	O
59	station	O
59	is	O
59	too	O
59	short	O
59	.	O
60	That	O
