SENTENCE	TOKEN	TAG
7841	I	O
7841	charge	O
7841	it	O
7841	at	O
7841	night	O
7841	and	O
7841	skip	O
7841	taking	O
7841	the	O
7841	cord	B-aspect
7841	with	O
7841	me	O
7841	because	O
7841	of	O
7841	the	O
7841	good	O
7841	battery	B-aspect
7841	life	I-aspect
7842	I	O
7842	bought	O
7842	a	O
7842	HP	O
7842	Pavilion	O
7842	DV41222nr	O
7842	laptop	O
7842	and	O
7842	have	O
7842	had	O
7842	so	O
7842	many	O
7842	problems	O
7842	with	O
7842	the	O
7842	computer	O
7843	The	O
7843	tech	B-aspect
7843	guy	I-aspect
7843	then	O
7843	said	O
7843	the	O
7843	service	B-aspect
7843	center	I-aspect
7843	does	O
7843	not	O
7843	do	O
7843	1to1	O
7843	exchange	O
7843	and	O
7843	I	O
7843	have	O
7843	to	O
7843	direct	O
7843	my	O
7843	concern	O
7843	to	O
7843	the	O
7843	sales	O
7843	team	O
7843	which	O
7843	is	O
7843	the	O
7843	retail	O
7843	shop	O
7843	which	O
7843	I	O
7843	bought	O
7843	my	O
7843	netbook	O
7843	from	O
7844	I	O
7844	investigated	O
7844	netbooks	O
7844	and	O
7844	saw	O
7844	the	O
7844	Toshiba	O
7844	NB305N410BL	O
7845	The	O
7845	other	O
7845	day	O
7845	I	O
7845	had	O
7845	a	O
7845	presentation	O
7845	to	O
7845	do	O
7845	for	O
7845	a	O
7845	seminar	O
7845	at	O
7845	a	O
7845	large	O
7845	conference	O
7845	in	O
7845	town	O
7845	lots	O
7845	of	O
7845	people	O
7845	little	O
7845	time	O
7845	to	O
7845	prep	O
7845	and	O
7845	have	O
7845	to	O
7845	set	O
7845	up	O
7845	a	O
7845	computer	O
7845	to	O
7845	a	O
7845	projector	O
7845	etc	O
7846	it	O
7846	is	O
7846	of	O
7846	high	O
7846	quality	B-aspect
7846	has	O
7846	a	O
7846	killer	O
7846	GUI	B-aspect
7846	is	O
7846	extremely	O
7846	stable	O
7846	is	O
7846	highly	O
7846	expandable	O
7846	is	O
7846	bundled	O
7846	with	O
7846	lots	O
7846	of	O
7846	very	O
7846	good	O
7846	applications	B-aspect
7846	is	O
7846	easy	O
7846	to	O
7846	use	B-aspect
7846	and	O
7846	is	O
7846	absolutely	O
7846	gorgeous	O
7847	Easy	O
7847	to	O
7847	start	B-aspect
7847	up	I-aspect
7847	and	O
7847	does	O
7847	not	O
7847	overheat	O
7847	as	O
7847	much	O
7847	as	O
7847	other	O
7847	laptops	O
7848	Sad	O
7848	very	O
7848	SAD	O
7849	I	O
7849	even	O
7849	got	O
7849	my	O
7849	teenage	O
7849	son	O
7849	one	O
7849	because	O
7849	of	O
7849	the	O
7849	features	B-aspect
7849	that	O
7849	it	O
7849	offers	O
7849	like	O
7849	iChat	B-aspect
7849	Photobooth	B-aspect
7849	garage	B-aspect
7849	band	I-aspect
7849	and	O
7849	more	O
7850	Needless	O
7850	to	O
7850	say	O
7850	a	O
7850	PC	O
7850	that	O
7850	cant	O
7850	support	O
7850	a	O
7850	cell	O
7850	phone	O
7850	is	O
7850	less	O
7850	than	O
7850	useless	O
7851	Great	O
7851	laptop	O
7851	that	O
7851	offers	O
7851	many	O
7851	great	O
7851	features	B-aspect
7852	they	O
7852	have	O
7852	done	O
7852	absolutely	O
7852	nothing	O
7852	to	O
7852	fix	O
7852	the	O
7852	computer	O
7852	problem	O
7853		O
7853	One	O
7853	night	O
7853	I	O
7853	turned	O
7853	the	O
7853	freaking	O
7853	thing	O
7853	off	O
7853	after	O
7853	using	O
7853	it	O
7853	the	O
7853	next	O
7853	day	O
7853	I	O
7853	turn	O
7853	it	O
7853	on	O
7853	no	O
7853	GUI	B-aspect
7853	screen	B-aspect
7853	all	O
7853	dark	O
7853	power	B-aspect
7853	light	I-aspect
7853	steady	O
7853	hard	B-aspect
7853	drive	I-aspect
7853	light	I-aspect
7853	steady	O
7853	and	O
7853	not	O
7853	flashing	O
7853	as	O
7853	it	O
7853	usually	O
7853	does	O
7854	Still	O
7854	pretty	O
7854	pricey	O
7854	but	O
7854	Ive	O
7854	been	O
7854	putting	O
7854	off	O
7854	money	O
7854	for	O
7854	a	O
7854	while	O
7854	as	O
7854	a	O
7854	little	O
7854	Macbook	O
7854	Fund	O
7854	and	O
7854	finally	O
7854	got	O
7854	to	O
7854	use	O
7854	it	O
7855	I	O
7855	took	O
7855	it	O
7855	back	O
7855	for	O
7855	an	O
7855	Asus	O
7855	and	O
7855	same	O
7855	thing	O
7855	blue	O
7855	screen	O
7855	which	O
7855	required	O
7855	me	O
7855	to	O
7855	remove	O
7855	the	O
7855	battery	B-aspect
7855	to	O
7855	reset	O
7856	In	O
7856	the	O
7856	shop	O
7856	these	O
7856	MacBooks	O
7856	are	O
7856	encased	O
7856	in	O
7856	a	O
7856	soft	O
7856	rubber	B-aspect
7856	enclosure	I-aspect
7856	so	O
7856	you	O
7856	will	O
7856	never	O
7856	know	O
7856	about	O
7856	the	O
7856	razor	O
7856	edge	B-aspect
7856	until	O
7856	you	O
7856	buy	O
7856	it	O
7856	get	O
7856	it	O
7856	home	O
7856	break	O
7856	the	O
7856	seal	O
7856	and	O
7856	use	O
7856	it	O
7856	very	O
7856	clever	O
7856	con	O
7857	However	O
7857	the	O
7857	multitouch	O
7857	gestures	O
7857	and	O
7857	large	O
7857	tracking	B-aspect
7857	area	I-aspect
7857	make	O
7857	having	O
7857	an	O
7857	external	B-aspect
7857	mouse	I-aspect
7857	unnecessary	O
7857	unless	O
7857	youre	O
7857	gaming	B-aspect
7858	Plus	O
7858	it	O
7858	is	O
7858	small	O
7858	and	O
7858	reasonably	O
7858	light	O
7858	so	O
7858	I	O
7858	can	O
7858	take	O
7858	it	O
7858	with	O
7858	me	O
7858	to	O
7858	and	O
7858	from	O
7858	work	O
7859	I	O
7859	HATE	O
7859	this	O
7859	one	O
7860	They	O
7860	were	O
7860	totally	O
7860	unconcerned	O
7860	that	O
7860	the	O
7860	computer	O
7860	was	O
7860	not	O
7860	correctly	O
7860	repaired	O
7860	in	O
7860	the	O
7860	first	O
7860	place	O
7861	Toshiba	O
7861	does	O
7861	not	O
7861	send	O
7861	any	O
7861	one	O
7861	out	O
7861	unless	O
7861	you	O
7861	have	O
7861	paid	O
7861	extra	O
7861	to	O
7861	have	O
7861	the	O
7861	on	O
7861	site	O
7861	repair	O
7861	done	O
7862	Oh	O
7862	boy	O
7863	But	O
7863	while	O
7863	this	O
7863	is	O
7863	one	O
7863	big	O
7863	advantage	O
7863	as	O
7863	you	O
7863	may	O
7863	know	O
7863	from	O
7863	the	O
7863	company	O
7863	s	O
